# format: STATE|ID|NAME|REMOTE|DESCRIPTION|INSTALLED_VER|AVAILABLE_VER|UPDATE
# STATE: I = installed, A = available
# UPDATE: 1 = update available, 0 = no
A|ai.jan.Jan|Jan|flathub|Private offline AI assistant||0.7.5|0
A|app.authpass.AuthPass|AuthPass|flathub|Password Manager: Keep your passwords safe across all platforms and devices||1.9.6_1904|0
A|app.bbsync.BlackboardSync|Blackboard Sync|flathub|Descarga contenido de Blackboard Learn||0.18.0|0
A|app.bluebubbles.BlueBubbles|BlueBubbles|flathub|BlueBubbles client for Linux||1.15.4.0|0
A|app.cantara.Cantara|Cantara|flathub|Song Presentation in Churches||2.6.0|0
A|app.comaps.comaps|comaps|flathub|stable|||0
A|app.curocalc.calculator|Curo Calculator|flathub|Financial calculations simplified||2.3.0|0
A|app.devsuite.Ptyxis|Ptyxis|flathub|Terminal orientada al trabajo con contenedores||49.2|0
A|app.devsuite.Schemes|Schemes|flathub|Create syntax highlighting schemes||46.0|0
A|app.drey.Biblioteca|Biblioteca|flathub|Read GNOME documentation offline||1.7|0
A|app.drey.Blurble|Blurble|flathub|Word guessing game||0.4.0|0
A|app.drey.Damask|Damask|flathub|Automatic wallpapers from the web||0.3.1|0
A|app.drey.Dialect|Dialect|flathub|Traduce entre idiomas||2.6.1|0
A|app.drey.EarTag|Ear Tag|flathub|Editar etiquetas de archivos de audio||1.0.2|0
A|app.drey.Elastic|Elastic|flathub|Diseñar animaciones spring||1.0.1|0
A|app.drey.KeyRack|Key Rack|flathub|View and edit passwords||0.4.0|0
A|app.drey.MultiplicationPuzzle|Rompecabezas de multiplicaciones|flathub|Resuelva un misterio matemático||15.0|0
A|app.drey.Warp|Warp|flathub|Transferencia de archivos rápida y segura||0.9.2|0
A|app.eduroam.geteduroam|geteduroam|flathub|A geteduroam client for Linux. Geteduroam simplifies the process of connecting to eduroam||0.12|0
A|app.feeddeck.feeddeck|FeedDeck|flathub|Feed reader||v1.4.1|0
A|app.fluxer.Fluxer|Fluxer|flathub|stable|||0
A|app.fotema.Fotema|Fotema|flathub|Admire your photos||2.4.0|0
A|app.freelens.Freelens|Freelens|flathub|Free IDE for Kubernetes||1.7.0|0
A|app.getclipboard.Clipboard|Clipboard|flathub|Cut, copy, and paste anything, anytime, anywhere||0.9.1|0
A|app.getspace.Space|Space|flathub|Spaced Repetition for Flashcards||2.0.6|0
A|app.go2tv.go2tv|Go2TV|flathub|Stream media to TVs and devices||1.19.0|0
A|app.grayjay.Grayjay|Grayjay|flathub|Universal media aggregator||12|0
A|app.gummi.gummi|Gummi|flathub|The simple LaTeX editor||0.8.3|0
A|app.katvan.Katvan|Katvan|flathub|Editor for Typst files, with a bias for Right-to-Left||0.12.0|0
A|app.kreya.Kreya|Kreya|flathub|stable|||0
A|app.lith.Lith|Lith|flathub|WeeChat Relay Client||v1.6.5|0
A|app.logorrr.LogoRRR|LogoRRR|flathub|Log files at a glance - a log viewer which is simple to use!||25.2.0|0
A|app.moosync.moosync|Moosync|flathub|Customizable music player||11.0.2|0
A|app.nestful.Nestful|Nestful|flathub|The single place for all your lists and tasks||1.4.1|0
A|app.openbubbles.OpenBubbles|OpenBubbles|flathub|OpenBubbles client for Linux||1.15.0.0|0
A|app.opencomic.OpenComic|OpenComic|flathub|Comic and Manga reader||1.6.5|0
A|app.organicmaps.desktop|Organic Maps|flathub|Free offline maps for everyone||2025.12.16-16|0
A|app.pianocheetah.pianocheetah|PianoCheetah|flathub|a better way to play it||2025.05b|0
A|app.polychromatic.controller|Polychromatic|flathub|RGB lighting management software for OpenRazer||0.9.6|0
A|app.rednotebook.RedNotebook|RedNotebook|flathub|Graphical diary and journal||2.41|0
A|app.tintero.Tintero|Tintero|flathub|Estudio profesional de escritura||0.6.10|0
A|app.towdow.TowDow|TowDow|flathub|Tasks & process management||0.0.0|0
A|app.twintaillauncher.ttl|Twintail Launcher|flathub|Run anime games hassle free||1.1.13|0
A|app.xemu.xemu|xemu|flathub|Original Xbox Emulator||0.8.121|0
A|app.xmcl.voxelum|X Minecraft Launcher|flathub|A modern Minecraft Launcher||v0.52.7|0
A|app.ytmdesktop.ytmdesktop|YTMDesktop|flathub|Free cross platform Desktop Player for YouTube Music||v2.0.10|0
A|app.ywallet.Ywallet|Ywallet|flathub|Light Wallet for Ycash and Zcash||1.5.4|0
A|app.zen_browser.zen|Zen|flathub|Stay focused, browse faster||1.17.15b|0
A|ar.com.pilas_engine.App|Pilas Engine|flathub|Pilas Engine es una herramienta para construir videojuegos de manera sencilla y divertida||2.8.18|0
A|ar.com.softwareperonista.Rockarrolla|Rockarrolla|flathub|Un reproductor de música similar a una rockola||1.4|0
A|ar.com.tuxguitar.TuxGuitar|TuxGuitar|flathub|TuxGuitar is a free and open-source tablature editor.||1.6.6|0
A|ar.net.covacha.spelloff|Spelloff|flathub|The orb ponderer's arena first-person shooter||3.0|0
A|ar.xjuan.Cambalache|Cambalache|flathub|Crea Interfaces Gráficas de GTK 4||0.96.3|0
A|art.taunoerik.tauno-monitor|Tauno Monitor|flathub|The serial port monitor for Arduino and other embedded development||0.2.17|0
A|art.taunoerik.tauno-serial-plotter|Tauno Serial Plotter|flathub|Simple serial plotter for Arduino and others similar devices.||1.19.10|0
A|as.may.moat|Museum of All Things|flathub|Explore an infinite 3D museum||v1.0.1|0
A|at.priv.toastfreeware.ConfClerk|ConfClerk|flathub|ConfClerk is an application which makes conference schedules available offline||0.6.4|0
A|at.ssh_mitm.server|SSH-MITM|flathub|SSH-MITM - ssh audits made simple||5.0.0|0
A|at.vintagestory.VintageStory|Vintage Story|flathub|Wilderness survival sandbox game||1.21.6|0
A|au.edu.uq.esys.escript|esys-escript|flathub|Python module for solving partial differential equations using the finite element method||5.10|0
A|au.stevetech.yafi|Yet Another Framework Interface|flathub|YAFI is another GUI for the Framework Laptop Embedded Controller||0.7|0
A|be.alexandervanhee.gradia|Gradia|flathub|Anote sus capturas de pantalla||1.11.3|0
A|best.ellie.StartupConfiguration|Startup Configuration|flathub|View and set startup scripts and applications||1.0.1|0
A|br.app.pw3270.terminal|pw3270|flathub|Access TN3270 hosts||5.5.0|0
A|br.com.eduk.school|eduK|flathub|eduK is an educational web platform focused on assisting users in income generation||0.0.1|0
A|br.com.wiselabs.simplexity|Simplexity|flathub|Simple desktop app for Perplexity.AI||1.0.1|0
A|br.eng.silas.qpdftools|Qpdf Tools|flathub|Tool for managing PDFs||3.1.2|0
A|br.gov.cti.invesalius|InVesalius|flathub|3D medical imaging reconstruction software||3.1.999982|0
A|br.gov.fazenda.receita.gcap2024|GCAP 2024|flathub|Do your capital gains taxes in Brazil (Calendar year of 2024)||1.6|0
A|br.gov.fazenda.receita.gcap2025|GCAP 2025|flathub|Do your capital gains taxes in Brazil (Calendar year of 2025)||1.3|0
A|br.gov.fazenda.receita.gcap2026|gcap2026|flathub|stable|||0
A|br.gov.fazenda.receita.irpf2022|IRPF 2022|flathub|Do your taxes in Brazil (Calendar year of 2021)||2.2|0
A|br.gov.fazenda.receita.irpf2023|IRPF 2023|flathub|Do your taxes in Brazil (Calendar year of 2022)||1.8|0
A|br.gov.fazenda.receita.irpf2024|IRPF 2024|flathub|Do your taxes in Brazil (Calendar year of 2023)||1.8|0
A|br.gov.fazenda.receita.irpf2025|IRPF 2025|flathub|Do your taxes in Brazil (Calendar year of 2024)||1.7|0
A|br.gov.fazenda.receita.irpf2026|irpf2026|flathub|stable|||0
A|ca._0ldsk00l.Nestopia|Nestopia|flathub|Nintendo Entertainment System emulator||1.53.2|0
A|ca.desrt.dconf-editor|Editor de dconf|flathub|Una herramienta gráfica para editar la base de datos de dconf||49.0|0
A|ca.edestcroix.Recordbox|Recordbox|flathub|Explora y reproduce tu música local||0.10.4|0
A|ca.hamaluik.Timecop|Time Cop|flathub|A time tracking app that respects your privacy and gets the job done without getting too fancy||1.8.0|0
A|ca.littlesvr.asunder|Asunder|flathub|Asunder is a graphical Audio CD ripper and encoder||3.0.1|0
A|ca.parallel_launcher.ParallelLauncher|Parallel Launcher|flathub|Un emulador moderno de N64||v9.0.2|0
A|ca.uwaterloo.Raven|Raven|flathub|Modelling framework for simulating watershed hydrology||4.0|0
A|ca.victorz.acr.AssaultCubeReloaded|AssaultCube Reloaded|flathub|First-person-shooter game||v2.18.3|0
A|ca.vlacroix.Tally|Tally|flathub|Count anything||0.7.3|0
A|ca.vtrlx.Telepipe|Telepipe|flathub|stable|||0
A|ca.wiilink.Patcher|Patcher|flathub|stable|||0
A|cafe.avery.Delfin|Delfin|flathub|Stream movies and TV shows from Jellyfin||0.4.8|0
A|camp.nook.nookdesktop|Nook Desktop|flathub|Nook is an application that plays Animal Crossing hourly themes on the hour.||1.0.10-f1|0
A|cat.xtec.clic.JClic|JClic|flathub|Actividades educativas y juegos para escolares y educadores||0.3.2.17|0
A|cc.arduino.IDE2|Arduino IDE v2|flathub|Open-source electronics prototyping platform||2.3.7|0
A|cc.arduino.arduinoide|Arduino IDE|flathub|Open-source electronics prototyping platform||1.8.19|0
A|cc.craftos_pc.CraftOS-PC-Accelerated|CraftOS-PC Accelerated|flathub|Advanced ComputerCraft emulator||2.8.3|0
A|cc.craftos_pc.CraftOS-PC|CraftOS-PC|flathub|Advanced ComputerCraft emulator||v2.8.3|0
A|cc.cubocore.CoreGarage|CoreGarage|flathub|stable|||0
A|cc.nift.nsm|Nift|flathub|Dynamic and static site generator||2.4.12|0
A|cc.retroshare.retroshare-gui|RetroShare-gui|flathub|Secure communication for everyone||0.6.7.2|0
A|cc.spek.Spek|Spek|flathub|View spectrograms of your audio files||0.8.5|0
A|cern.root.ROOT|ROOT|flathub|Data Analysis Framework||6.36.04|0
A|ch.bailu.aat|AAT|flathub|Track your outdoor activities||1.29|0
A|ch.bailu.gtk_meteo|GTK Meteo|flathub|Select location from map and show forecast||0.2.3|0
A|ch.dragondreams.deigde|Dragengine IGDE|flathub|Edit Drag[en]gine game projects.||1.29.1|0
A|ch.dragondreams.delauncher|Dragengine Launcher|flathub|Run DELGA files||1.29.1|0
A|ch.imatt.ClipQR|ClipQR|flathub|Scan QR codes on screen and from camera.||1.0.1|0
A|ch.openboard.OpenBoard|OpenBoard|flathub|Cuadro blanco interactivo para escuelas y universidades||1.7.3|0
A|ch.protonmail.protonmail-bridge|Proton Mail Bridge|flathub|Seamlessly encrypts and decrypts your mail as it enters and leaves your computer||3.21.2|0
A|ch.theologeek.Manuskript|Manuskript|flathub|Write your masterpiece||0.17.0|0
